,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,2396063317.6765733,912036596906.4362,117395869894.84366,53.37325089138881,2.5132741228718345,145860.61900774995,289119892142.1463,44312805447.14171,20.146522062063422,Wind,23403168977.25443,67715974424.39613,1.4720864005303507,3598.384492007377,3.1120572614814206,4.653878877723911,8.627993136348534,,3.1120572614814206,NH3,7343.492895910329,,143154634028.14536,210870608452.5415,4.584143662011771,0.5339736842105263,0.20608697679049617,0.21068623154989596,0.2566637745322494,,0.20608697679049617,0.7400606610010224,True,16876.2,True,129.0,D
1,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,2201717033.4345193,838060703868.0955,107873813056.3999,49.044111126118025,2.5132741228718345,145860.61900774995,289119892142.1463,44312805447.14171,20.146522062063422,Wind,23403168977.25443,67715974424.39613,1.4720864005303507,3598.384492007377,1.7965662214814206,2.351769557723912,3.6949017363485335,,1.7965662214814206,NH3,7370.25796783351,,82642046188.14536,150358020612.5415,3.2686526220117713,0.5339736842105263,0.20608697679049617,0.21068623154989596,0.2566637745322494,,0.20608697679049617,0.7400606610010224,True,16876.2,True,15.0,D
2,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1889651834.6674325,719276329600.2021,92584081268.88853,42.09273633339433,0.24317353421849724,1507514.8719467875,2988144025062.575,293720530064.43005,133.5380840665256,Solar,23403168977.25443,115987250246.14296,2.521461961872673,2340.402689217917,1.9585609596195983,2.6383613436336977,4.2715970237240946,,1.9585609596195983,NH3,7313.414433506537,,90093804142.50153,206081054388.64447,4.480022921492271,2.159710526315789,0.15788106388797823,0.17086529680088602,0.3172522359354131,,0.15788106388797823,2.3175915902037674,True,16876.2,True,108.0,D
3,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1881979912.0495968,716356091998.5992,92208193026.35239,41.92184124573941,0.2331130235683475,1572575.0268550054,3117104021926.5396,305637288789.2555,138.95595910592843,Solar,23403168977.25443,115611362003.60681,2.5132904783392784,2302.8698343499573,1.6197853168841623,2.045618302195287,2.80085311135952,,1.6197853168841623,NH3,7879.135368918738,,74510124576.67146,190121486580.27826,4.133075795223441,2.159710526315789,0.15601369337481574,0.16881793842167314,0.3152155084559258,,0.15601369337481574,2.3157242196906047,True,16876.2,True,73.0,D
4,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1890837598.6163735,719727678322.3949,92642178143.56163,42.1191496907868,0.7528427183742403,486937.98897316796,965191700196.7184,106786322918.93158,48.549690973168865,Solar,23403168977.25443,116045347120.81606,2.522724937409045,2302.8698343499573,2.005353796884162,2.7203631421952874,4.445967880099422,,2.005353796884162,NH3,7382.907234584961,,92246274656.67146,208291621777.48752,4.5280787342932065,2.159710526315789,0.15601369337481574,0.16881793842167314,0.3152155084559258,,0.15601369337481574,2.3157242196906047,True,16876.2,True,118.0,D
5,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1598434887.480465,608427625597.0741,78315816072.83932,35.60576452786359,0.7517865463400301,487622.07980832824,966547681474.0669,106911624579.21765,48.60665853904275,Solar,23403168977.25443,101718985050.09375,2.2112822836976904,2047.1358109546952,2.376087962786877,3.369976522372248,5.828291248911455,,2.376087962786877,NH3,7549.548199105002,,109300046288.19633,211019031338.2901,4.587370246484568,2.159710526315789,0.14329241109954127,0.15486804845220348,0.3013525751093738,,0.14329241109954127,2.3030029374153305,True,16876.2,True,131.0,D
6,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,1773425394.9179177,675035943380.99,86889530587.14537,39.50374676738441,0.4767952758852406,768857.7002312398,1524003235936.5195,158424213784.3058,72.02651436677299,Solar,23403168977.25443,110292699564.3998,2.3976673818347782,2302.8698343499573,2.6879397168841623,3.9148885021952866,7.005665080099423,,2.6879397168841623,NH3,7352.50246238043,,123645226976.67146,233937926541.07126,5.08560709871894,2.159710526315789,0.15601369337481574,0.16881793842167314,0.3152155084559258,,0.15601369337481574,2.3157242196906047,True,16876.2,True,198.0,D
7,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,1938899426.5290623,738021913557.0033,94996982398.90894,43.189745772517284,0.31675726823571854,1157314.3099133093,2293988540107.047,229575960950.8375,104.3751826485586,Solar,23403168977.25443,118400151376.16336,2.5739163342644207,1582.3066808755452,1.7260266796929913,2.23416150996438,3.3737228982228338,,1.7260266796929913,NH3,7714.1780217913565,,79397227265.8776,197797378642.04095,4.299943013957412,2.159710526315789,0.1201798680149928,0.12951234828716796,0.2762196085121624,,0.1201798680149928,2.2798903943307818,True,16876.2,True,83.0,D
8,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,1757392729.5466838,668933275952.8608,86104005144.59819,39.14661285318288,0.4493109268916041,815888.7250625102,1617226512507.3464,167038662616.86966,75.94301619297273,Solar,23403168977.25443,109507174121.85262,2.3805907417794048,1868.698293988948,2.189919806842424,3.044819869288198,5.124124078254342,,2.189919806842424,NH3,7419.432027305218,,100736311114.75151,210243485236.60413,4.570510548621829,2.159710526315789,0.13441849593457306,0.14513456170276823,0.29169473775648946,,0.13441849593457306,2.2941290222503623,True,16876.2,True,125.0,D
9,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,1741144049.4339967,662748384758.6804,85307895992.39029,38.78466712582651,0.5893295437631703,622041.985130078,1232990185233.885,131532678460.70538,59.80045681494586,Solar,23403168977.25443,108711064969.64471,2.3632840210792327,3019.214570070164,2.5499039816448286,3.6713908369757675,6.506984993601035,,2.5499039816448286,NH3,7095.769241191787,,117295583155.66211,226006648125.30682,4.913188002724061,2.159710526315789,0.1916685043522383,0.20789342048242604,0.35418257382807183,,0.1916685043522383,2.3513790306680273,True,16876.2,True,178.0,D
